
Type=1 L=0 N=1
   nq         Coefficient           Eigen(Ry)      Kinetic_Energy
    0        0.2671999429        0.2741556778        0.6661988217 (Rydberg)
    1        0.2639814319        1.0966227112        1.3683619620 (Rydberg)
    2        0.0365490293        2.4674011003        0.0400279108 (Rydberg)
    3       -0.1393236286        4.3864908449        0.7822227847 (Rydberg)
    4       -0.1332890991        6.8538919452        0.8995277835 (Rydberg)
    5       -0.1218452204        9.8696044011        0.9051290830 (Rydberg)
    6       -0.0535280226       13.4336282126        0.2042975901 (Rydberg)
    7       -0.0415053835       17.5459633797        0.1406358587 (Rydberg)
    8        0.0064833261       22.2066099025        0.0038659186 (Rydberg)
    9       -0.0118649813       27.4155677808        0.0144026350 (Rydberg)
   10        0.0147302897       33.1728370148        0.0244414227 (Rydberg)
   11       -0.0121805065       39.4784176044        0.0182456398 (Rydberg)
   12        0.0122139845       46.3323095495        0.0198879190 (Rydberg)
   13       -0.0141602435       53.7345128504        0.0288034257 (Rydberg)
   14        0.0116111311       61.6850275068        0.0207599279 (Rydberg)
   15       -0.0136785977       70.1838535188        0.0307449010 (Rydberg)
   16        0.0128714252       79.2309908865        0.0289357566 (Rydberg)
   17       -0.0141673498       88.8264396098        0.0371301716 (Rydberg)
   18        0.0192547413       98.9701996888        0.0724161629 (Rydberg)
 Total kinetic energy = 5.306036
Type=1 L=0 N=2
   nq         Coefficient           Eigen(Ry)      Kinetic_Energy
    0       -0.2487761827        0.2741556778        0.5774956767 (Rydberg)
    1        0.3245709540        1.0966227112        2.0685857874 (Rydberg)
    2       -0.0539369080        2.4674011003        0.0871732668 (Rydberg)
    3       -0.1940164246        4.3864908449        1.5169033199 (Rydberg)
    4       -0.1124726206        6.8538919452        0.6404997212 (Rydberg)
    5       -0.0219040847        9.8696044011        0.0292512038 (Rydberg)
    6       -0.0367444756       13.4336282126        0.0962686654 (Rydberg)
    7        0.0107855039       17.5459633797        0.0094965987 (Rydberg)
    8       -0.0086901206       22.2066099025        0.0069455811 (Rydberg)
    9        0.0104525328       27.4155677808        0.0111776605 (Rydberg)
   10       -0.0007441426       33.1728370148        0.0000623758 (Rydberg)
   11        0.0030303723       39.4784176044        0.0011293287 (Rydberg)
   12       -0.0021866083       46.3323095495        0.0006374067 (Rydberg)
   13        0.0042787982       53.7345128504        0.0026299428 (Rydberg)
   14       -0.0040446076       61.6850275068        0.0025190081 (Rydberg)
   15        0.0067956218       70.1838535188        0.0075883673 (Rydberg)
   16       -0.0007534297       79.2309908865        0.0000991441 (Rydberg)
   17        0.0002136629       88.8264396098        0.0000084452 (Rydberg)
   18       -0.0028145957       98.9701996888        0.0015473629 (Rydberg)
 Total kinetic energy = 5.060019
Type=1 L=1 N=1
   nq         Coefficient           Eigen(Ry)      Kinetic_Energy
    0        0.3822998288        0.5608535710        0.5686704325 (Rydberg)
    1        0.3338585543        1.6577643318        0.8279000678 (Rydberg)
    2        0.2416120593        3.3027741434        0.6370059076 (Rydberg)
    3        0.0338486878        5.4960503109        0.0164745251 (Rydberg)
    4        0.0624072992        8.2376225593        0.0694734290 (Rydberg)
    5       -0.0444667439       11.5274995628        0.0421021920 (Rydberg)
    6        0.0413809461       15.3656846066        0.0423730591 (Rydberg)
    7       -0.0480238521       19.7521791593        0.0650273575 (Rydberg)
    8        0.0473541801       24.6869839575        0.0709615009 (Rydberg)
    9       -0.0486378072       30.1700994040        0.0830189036 (Rydberg)
   10        0.0498778281       36.2015257342        0.0958839521 (Rydberg)
   11       -0.0513320606       42.7812630930        0.1106408580 (Rydberg)
   12        0.0532922919       49.9093115739        0.1290426208 (Rydberg)
   13       -0.0540016801       57.5856712389        0.1425527550 (Rydberg)
   14        0.0559298737       65.8103421309        0.1636962813 (Rydberg)
   15       -0.0596564445       74.5833242802        0.1985026732 (Rydberg)
   16        0.0640993143       83.9046177086        0.2433304037 (Rydberg)
   17       -0.0715129252       93.7742224322        0.3204959813 (Rydberg)
   18        0.1823285680      104.1921384629        2.1979146910 (Rydberg)
 Total kinetic energy = 6.025068
Type=1 L=1 N=2
   nq         Coefficient           Eigen(Ry)      Kinetic_Energy
    0       -0.2933635178        0.5608535710        0.3348610623 (Rydberg)
    1        0.4674129212        1.6577643318        1.6227601315 (Rydberg)
    2        0.3532864939        3.3027741434        1.3619473398 (Rydberg)
    3        0.3116270301        5.4960503109        1.3963666560 (Rydberg)
    4       -0.1249668070        8.2376225593        0.2785719000 (Rydberg)
    5        0.1002972678       11.5274995628        0.2141964430 (Rydberg)
    6       -0.0801882502       15.3656846066        0.1591147572 (Rydberg)
    7        0.0277367081       19.7521791593        0.0216916182 (Rydberg)
    8       -0.0485989681       24.6869839575        0.0747412307 (Rydberg)
    9        0.0230807542       30.1700994040        0.0186951525 (Rydberg)
   10       -0.0197208283       36.2015257342        0.0149892934 (Rydberg)
   11        0.0227352669       42.7812630930        0.0217039237 (Rydberg)
   12       -0.0133910084       49.9093115739        0.0081476234 (Rydberg)
   13        0.0061916356       57.5856712389        0.0018740098 (Rydberg)
   14       -0.0120437880       65.8103421309        0.0075906216 (Rydberg)
   15        0.0082831982       74.5833242802        0.0038269054 (Rydberg)
   16       -0.0051867752       83.9046177086        0.0015932520 (Rydberg)
   17        0.0074639419       93.7742224322        0.0034913227 (Rydberg)
   18       -0.0049323839      104.1921384629        0.0016084780 (Rydberg)
 Total kinetic energy = 5.547772
Type=1 L=2 N=1
   nq         Coefficient           Eigen(Ry)      Kinetic_Energy
    0       -0.2508590365        0.9227072754        0.1720076209 (Rydberg)
    1       -0.6374723544        2.2977564195        2.0039787257 (Rydberg)
    2       -0.5436940723        4.2181909490        2.0862840426 (Rydberg)
    3       -0.3843788216        6.6861918496        1.3532011802 (Rydberg)
    4       -0.2144675157        9.7022244414        0.5173772536 (Rydberg)
    5       -0.2206730926       13.2664394039        0.6491744779 (Rydberg)
    6       -0.1346257836       17.3788978899        0.2792877235 (Rydberg)
    7       -0.1169692710       22.0396286238        0.2392379276 (Rydberg)
    8       -0.0587958670       27.2486465715        0.0676183671 (Rydberg)
    9       -0.0705046563       33.0059601610        0.1075358062 (Rydberg)
   10       -0.0203442410       39.3115744362        0.0098112123 (Rydberg)
   11       -0.0328294762       46.1654925666        0.0277809054 (Rydberg)
   12       -0.0042688125       53.5677166258        0.0005074451 (Rydberg)
   13       -0.0181678328       61.5182480171        0.0098746753 (Rydberg)
   14        0.0064595019       70.0170877173        0.0013346478 (Rydberg)
   15       -0.0076496536       79.0642364239        0.0019928657 (Rydberg)
   16        0.0100330316       88.6596946456        0.0036364281 (Rydberg)
   17       -0.0107592119       98.8034627603        0.0044213822 (Rydberg)
   18       -0.0022086219      109.4955410537        0.0001964030 (Rydberg)
 Total kinetic energy = 7.535259
