---------------------------------------------------------------------------
Element                    Si
Energy Cutoff(Ry)          100
Radius Cutoff(a.u.)         6
Lmax                        2
Number of Sorbital-->       2
Number of Porbital-->       2
Number of Dorbital-->       1
---------------------------------------------------------------------------
SUMMARY  END

Mesh                        601
dr                          0.01
                Type                   L                   N
                   0                   0                   0
 8.935226889309e-02 8.939672364591e-02 8.953015634448e-02 8.975277150769e-02
 9.006490733598e-02 9.046703173822e-02 9.095973681669e-02 9.154373185642e-02
 9.221983487843e-02 9.298896282809e-02 9.385212048166e-02 9.481038816459e-02
 9.586490838564e-02 9.701687149939e-02 9.826750051860e-02 9.961803520453e-02
 1.010697155695e-01 1.026237649316e-01 1.042813726630e-01 1.060436767806e-01
 1.079117465217e-01 1.098865650562e-01 1.119690124779e-01 1.141598492200e-01
 1.164597000349e-01 1.188690386726e-01 1.213881733883e-01 1.240172334009e-01
 1.267561564165e-01 1.296046773244e-01 1.325623181592e-01 1.356283794158e-01
 1.388019327911e-01 1.420818154150e-01 1.454666256200e-01 1.489547202873e-01
 1.525442137943e-01 1.562329785736e-01 1.600186472831e-01 1.638986165704e-01
 1.678700524064e-01 1.719298969439e-01 1.760748768526e-01 1.803015130618e-01
 1.846061318395e-01 1.889848771172e-01 1.934337239686e-01 1.979484931349e-01
 2.025248664851e-01 2.071584032916e-01 2.118445571954e-01 2.165786937310e-01
 2.213561082765e-01 2.261720442928e-01 2.310217117134e-01 2.359003053479e-01
 2.408030231597e-01 2.457250842858e-01 2.506617466639e-01 2.556083241415e-01
 2.605602029435e-01 2.655128573829e-01 2.704618647060e-01 2.754029189722e-01
 2.803318438759e-01 2.852446044301e-01 2.901373174387e-01 2.950062606985e-01
 2.998478808801e-01 3.046588000506e-01 3.094358208113e-01 3.141759300370e-01
 3.188763012148e-01 3.235342953899e-01 3.281474607431e-01 3.327135308294e-01
 3.372304215227e-01 3.416962267209e-01 3.461092128748e-01 3.504678124137e-01
 3.547706161506e-01 3.590163647554e-01 3.632039393927e-01 3.673323516279e-01
 3.714007327064e-01 3.754083223195e-01 3.793544569710e-01 3.832385580596e-01
 3.870601197958e-01 3.908186970691e-01 3.945138933827e-01 3.981453489683e-01
 4.017127291913e-01 4.052157133544e-01 4.086539839983e-01 4.120272167966e-01
 4.153350711336e-01 4.185771814438e-01 4.217531493894e-01 4.248625369371e-01
 4.279048603916e-01 4.308795854287e-01 4.337861231671e-01 4.366238273004e-01
 4.393919923076e-01 4.420898527447e-01 4.447165836140e-01 4.472713017931e-01
 4.497530685006e-01 4.521608927616e-01 4.544937358302e-01 4.567505165148e-01
 4.589301173475e-01 4.610313915261e-01 4.630531705572e-01 4.649942725159e-01
 4.668535108388e-01 4.686297035568e-01 4.703216828760e-01 4.719283050084e-01
 4.734484601540e-01 4.748810825365e-01 4.762251603918e-01 4.774797458122e-01
 4.786439643506e-01 4.797170242916e-01 4.806982254989e-01 4.815869677555e-01
 4.823827585171e-01 4.830852200029e-01 4.836940955597e-01 4.842092552358e-01
 4.846307005161e-01 4.849585681700e-01 4.851931331796e-01 4.853348107184e-01
 4.853841571641e-01 4.853418701339e-01 4.852087875434e-01 4.849858856972e-01
 4.846742764275e-01 4.842752033069e-01 4.837900369697e-01 4.832202695826e-01
 4.825675085146e-01 4.818334692612e-01 4.810199676865e-01 4.801289116495e-01
 4.791622920897e-01 4.781221736467e-01 4.770106848974e-01 4.758300082914e-01
 4.745823698732e-01 4.732700288752e-01 4.718952672709e-01 4.704603793726e-01
 4.689676615610e-01 4.674194022291e-01 4.658178720206e-01 4.641653144407e-01
 4.624639369121e-01 4.607159023426e-01 4.589233212705e-01 4.570882446401e-01
 4.552126572616e-01 4.532984719961e-01 4.513475247042e-01 4.493615699853e-01
 4.473422777305e-01 4.452912305016e-01 4.432099217434e-01 4.410997548259e-01
 4.389620429076e-01 4.367980096036e-01 4.346087904326e-01 4.323954350133e-01
 4.301589099713e-01 4.279001025128e-01 4.256198246161e-01 4.233188177855e-01
 4.209977583087e-01 4.186572629548e-01 4.162978950451e-01 4.139201708297e-01
 4.115245660968e-01 4.091115229440e-01 4.066814566373e-01 4.042347624868e-01
 4.017718226659e-01 3.992930129048e-01 3.967987089898e-01 3.942892930040e-01
 3.917651592460e-01 3.892267197722e-01 3.866744095061e-01 3.841086908687e-01
 3.815300578875e-01 3.789390397460e-01 3.763362037438e-01 3.737221576433e-01
 3.710975513842e-01 3.684630781557e-01 3.658194748206e-01 3.631675216948e-01
 3.605080416899e-01 3.578418988346e-01 3.551699961956e-01 3.524932732265e-01
 3.498127025762e-01 3.471292863959e-01 3.444440521877e-01 3.417580482419e-01
 3.390723387139e-01 3.363879983960e-01 3.337061072410e-01 3.310277446966e-01
 3.283539839123e-01 3.256858858794e-01 3.230244935687e-01 3.203708261237e-01
 3.177258731749e-01 3.150905893301e-01 3.124658889004e-01 3.098526409166e-01
 3.072516644845e-01 3.046637245302e-01 3.020895279755e-01 2.995297203843e-01
 2.969848831133e-01 2.944555309942e-01 2.919421105731e-01 2.894449989218e-01
 2.869645030343e-01 2.845008598131e-01 2.820542366458e-01 2.796247325651e-01
 2.772123799802e-01 2.748171469624e-01 2.724389400607e-01 2.700776076205e-01
 2.677329435707e-01 2.654046916417e-01 2.630925499737e-01 2.607961760673e-01
 2.585151920297e-01 2.562491900639e-01 2.539977381470e-01 2.517603858426e-01
 2.495366701912e-01 2.473261216201e-01 2.451282698173e-01 2.429426495129e-01
 2.407688061113e-01 2.386063011228e-01 2.364547173420e-01 2.343136637249e-01
 2.321827799196e-01 2.300617404078e-01 2.279502582220e-01 2.258480882019e-01
 2.237550297644e-01 2.216709291614e-01 2.195956812091e-01 2.175292304733e-01
 2.154715719059e-01 2.134227509278e-01 2.113828629637e-01 2.093520524363e-01
 2.073305112348e-01 2.053184766761e-01 2.033162289844e-01 2.013240883163e-01
 1.993424113664e-01 1.973715875891e-01 1.954120350793e-01 1.934641961545e-01
 1.915285326859e-01 1.896055212283e-01 1.876956479985e-01 1.857994037556e-01
 1.839172786351e-01 1.820497569912e-01 1.801973122986e-01 1.783604021679e-01
 1.765394635223e-01 1.747349079879e-01 1.729471175406e-01 1.711764404558e-01
 1.694231876000e-01 1.676876291009e-01 1.659699914305e-01 1.642704549267e-01
 1.625891517811e-01 1.609261645089e-01 1.592815249172e-01 1.576552135801e-01
 1.560471598245e-01 1.544572422262e-01 1.528852896093e-01 1.513310825373e-01
 1.497943552810e-01 1.482747982405e-01 1.467720607972e-01 1.452857545646e-01
 1.438154570053e-01 1.423607153763e-01 1.409210509622e-01 1.394959635529e-01
 1.380849361196e-01 1.366874396430e-01 1.353029380429e-01 1.339308931600e-01
 1.325707697406e-01 1.312220403726e-01 1.298841903230e-01 1.285567222306e-01
 1.272391606044e-01 1.259310560840e-01 1.246319894203e-01 1.233415751354e-01
 1.220594648269e-01 1.207853500838e-01 1.195189649848e-01 1.182600881557e-01
 1.170085443652e-01 1.157642056453e-01 1.145269919237e-01 1.132968711657e-01
 1.120738590231e-01 1.108580179950e-01 1.096494561103e-01 1.084483251467e-01
 1.072548184029e-01 1.060691680502e-01 1.048916420884e-01 1.037225409389e-01
 1.025621937098e-01 1.014109541705e-01 1.002691964787e-01 9.913731070023e-02
 9.801569817105e-02 9.690476674540e-02 9.580492597992e-02 9.471658230186e-02
 9.364013421045e-02 9.257596755958e-02 9.152445096967e-02 9.048593141461e-02
 8.946073002834e-02 8.844913817306e-02 8.745141380862e-02 8.646777819936e-02
 8.549841299131e-02 8.454345768912e-02 8.360300755755e-02 8.267711196865e-02
 8.176577321082e-02 8.086894577144e-02 7.998653610007e-02 7.911840285424e-02
 7.826435762512e-02 7.742416613540e-02 7.659754989720e-02 7.578418831293e-02
 7.498372119787e-02 7.419575169874e-02 7.341984957881e-02 7.265555483630e-02
 7.190238161945e-02 7.115982239889e-02 7.042735235506e-02 6.970443393664e-02
 6.899052154385e-02 6.828506628974e-02 6.758752079120e-02 6.689734394189e-02
 6.621400561862e-02 6.553699127428e-02 6.486580637080e-02 6.419998060777e-02
 6.353907190408e-02 6.288267009274e-02 6.223040029145e-02 6.158192591533e-02
 6.093695130141e-02 6.029522391841e-02 5.965653613980e-02 5.902072656209e-02
 5.838768085529e-02 5.775733213687e-02 5.712966086549e-02 5.650469425560e-02
 5.588250521871e-02 5.526321084212e-02 5.464697042028e-02 5.403398305870e-02
 5.342448487451e-02 5.281874582183e-02 5.221706617409e-02 5.161977269862e-02
 5.102721456222e-02 5.043975900897e-02 4.985778685410e-02 4.928168783926e-02
 4.871185589648e-02 4.814868436846e-02 4.759256123402e-02 4.704386438686e-02
 4.650295701587e-02 4.597018313383e-02 4.544586330027e-02 4.493029058212e-02
 4.442372679347e-02 4.392639905324e-02 4.343849669612e-02 4.296016856881e-02
 4.249152073976e-02 4.203261464648e-02 4.158346570009e-02 4.114404236222e-02
 4.071426570477e-02 4.029400945801e-02 3.988310054773e-02 3.948132011724e-02
 3.908840502492e-02 3.870404980364e-02 3.832790906315e-02 3.795960031256e-02
 3.759870717528e-02 3.724478296526e-02 3.689735458908e-02 3.655592673570e-02
 3.621998631210e-02 3.588900708089e-02 3.556245445347e-02 3.523979039099e-02
 3.492047836373e-02 3.460398831899e-02 3.428980160748e-02 3.397741581805e-02
 3.366634947176e-02 3.335614652721e-02 3.304638065108e-02 3.273665920967e-02
 3.242662694025e-02 3.211596926363e-02 3.180441520337e-02 3.149173988027e-02
 3.117776655529e-02 3.086236819842e-02 3.054546856551e-02 3.022704276994e-02
 2.990711734132e-02 2.958576976798e-02 2.926312752559e-02 2.893936659912e-02
 2.861470951074e-02 2.828942287076e-02 2.796381447416e-02 2.763822996934e-02
 2.731304913045e-02 2.698868176875e-02 2.666556332194e-02 2.634415016425e-02
 2.602491468257e-02 2.570834016698e-02 2.539491556566e-02 2.508513015619e-02
 2.477946818604e-02 2.447840353587e-02 2.418239445920e-02 2.389187845158e-02
 2.360726730160e-02 2.332894237417e-02 2.305725017494e-02 2.279249824205e-02
 2.253495140829e-02 2.228482847369e-02 2.204229932447e-02 2.180748253027e-02
 2.158044344691e-02 2.136119284727e-02 2.114968609786e-02 2.094582289301e-02
 2.074944755383e-02 2.056034989298e-02 2.037826664110e-02 2.020288342508e-02
 2.003383728283e-02 1.987071969392e-02 1.971308010018e-02 1.956042988535e-02
 1.941224677821e-02 1.926797963912e-02 1.912705358593e-02 1.898887541143e-02
 1.885283924141e-02 1.871833237956e-02 1.858474128324e-02 1.845145761232e-02
 1.831788429213e-02 1.818344153096e-02 1.804757273248e-02 1.790975024373e-02
 1.776948088068e-02 1.762631117488e-02 1.747983228665e-02 1.732968453343e-02
 1.717556148463e-02 1.701721357835e-02 1.685445121938e-02 1.668714732237e-02
 1.651523926911e-02 1.633873025406e-02 1.615768999789e-02 1.597225481442e-02
 1.578262702251e-02 1.558907370035e-02 1.539192478591e-02 1.519157053345e-02
 1.498845834197e-02 1.478308897772e-02 1.457601221869e-02 1.436782195455e-02
 1.415915078106e-02 1.395066413296e-02 1.374305400408e-02 1.353703230767e-02
 1.333332393389e-02 1.313265956465e-02 1.293576830890e-02 1.274337022366e-02
 1.255616878787e-02 1.237484339719e-02 1.220004194832e-02 1.203237358140e-02
 1.187240164807e-02 1.172063697168e-02 1.157753146371e-02 1.144347215822e-02
 1.131877572237e-02 1.120368349759e-02 1.109835712090e-02 1.100287477072e-02
 1.091722807536e-02 1.084131971503e-02 1.077496174025e-02 1.071787461947e-02
 1.066968701760e-02 1.062993629292e-02 1.059806968356e-02 1.057344613384e-02
 1.055533868644e-02 1.054293733592e-02 1.053535220364e-02 1.053161685248e-02
 1.053069151338e-02 1.053146594594e-02 1.053276160722e-02 1.053333276136e-02
 1.053186613854e-02 1.052697875726e-02 1.051721357512e-02 1.050103275007e-02
 1.047680849638e-02 1.044281182676e-02 1.039719989894e-02 1.033800323495e-02
 1.026311474362e-02 1.017028321692e-02 1.005711472767e-02 9.921086037690e-03
 9.759574609441e-03 9.569909953542e-03 9.349450681652e-03 9.095690617966e-03
 8.806395538116e-03 8.479769500802e-03 8.114646361575e-03 7.710698079386e-03
 7.268647152823e-03 6.790466398499e-03 6.279545863847e-03 5.740804566208e-03
