---------------------------------------------------------------------------
Element                     Si
Energy Cutoff(Ry)           100
Radius Cutoff(a.u.)         6
Lmax                        2
Number of Sorbital-->       3
Number of Porbital-->       3
Number of Dorbital-->       2
---------------------------------------------------------------------------
SUMMARY  END

Mesh                        601
dr                          0.01
                Type                   L                   N
                   0                   0                   0
-3.76743497139128e-01  -3.76393227208015e-01  -3.75343903926044e-01  -3.73599976665765e-01  
-3.71168827255305e-01  -3.68060719565155e-01  -3.64288729479311e-01  -3.59868655794950e-01  
-3.54818912742611e-01  -3.49160404960915e-01  -3.42916385895089e-01  -3.36112300715793e-01  
-3.28775614973003e-01  -3.20935630307969e-01  -3.12623288643701e-01  -3.03870966360218e-01  
-2.94712260034276e-01  -2.85181765383867e-01  -2.75314851104956e-01  -2.65147429321408e-01  
-2.54715724388512e-01  -2.44056041795921e-01  -2.33204538907050e-01  -2.22196999249272e-01  
-2.11068612032756e-01  -1.99853758525816e-01  -1.88585806851823e-01  -1.77296916697358e-01  
-1.66017855334320e-01  -1.54777826260661e-01  -1.43604311656338e-01  -1.32522929733756e-01  
-1.21557307936566e-01  -1.10728972808085e-01  -1.00057257212169e-01  -8.95592254460764e-02  
-7.92496166380198e-02  -6.91408066729957e-02  -5.92427887402415e-02  -4.95631724456760e-02  
-4.01072012841040e-02  -3.08777881200841e-02  -2.18755681843679e-02  -1.30989689558527e-02  
-4.54429616824417e-03  3.79416494294299e-03  1.19240341527201e-02  1.98547076241492e-02  
2.75972173531068e-02  3.51640799678056e-02  4.25691362446888e-02  4.98273827644868e-02  
5.69547971820215e-02  6.39681586204491e-02  7.08848647247921e-02  7.77227469207401e-02  
8.44998854227789e-02  9.12344255208516e-02  9.79443966472034e-02  1.04647535685106e-01  
1.11361115929288e-01  1.18101783044583e-01  1.24885399295250e-01  1.31726897233256e-01  
1.38640143940423e-01  1.45637816817568e-01  1.52731291804490e-01  1.59930544799034e-01  
1.67244066922342e-01  1.74678794152063e-01  1.82240051716698e-01  1.89931513513656e-01  
1.97755176682048e-01  2.05711351330000e-01  2.13798665286331e-01  2.22014083619042e-01  
2.30352942539230e-01  2.38808997189823e-01  2.47374482704948e-01  2.56040187818707e-01  
2.64795540202526e-01  2.73628702618900e-01  2.82526678896927e-01  2.91475428662228e-01  
3.00459989691193e-01  3.09464606707402e-01  3.18472865397010e-01  3.27467830389946e-01  
3.36432185935290e-01  3.45348377992088e-01  3.54198756461121e-01  3.62965716298699e-01  
3.71631836279971e-01  3.80180014216421e-01  3.88593597479497e-01  3.96856507739333e-01  
4.04953358893588e-01  4.12869567235883e-01  4.20591452995414e-01  4.28106332468255e-01  
4.35402600055733e-01  4.42469799625233e-01  4.49298684712789e-01  4.55881267194012e-01  
4.62210854159181e-01  4.68282072838700e-01  4.74090883535687e-01  4.79634580631995e-01  
4.84911781841776e-01  4.89922405991519e-01  4.94667639706674e-01  4.99149893481432e-01  
5.03372747699232e-01  5.07340889256354e-01  5.11060039518689e-01  5.14536874412046e-01  
5.17778937508303e-01  5.20794547023121e-01  5.23592697685240e-01  5.26182958472311e-01  
5.28575367233563e-01  5.30780323235211e-01  5.32808478670331e-01  5.34670630171033e-01  
5.36377611347223e-01  5.37940187353376e-01  5.39368952452759e-01  5.40674231507889e-01  
5.41865986277121e-01  5.42953727340705e-01  5.43946432415973e-01  5.44852471751245e-01  
5.45679541212268e-01  5.46434603594233e-01  5.47123838607578e-01  5.47752601897586e-01  
5.48325393367154e-01  5.48845834979905e-01  5.49316658127915e-01  5.49739700555599e-01  
5.50115912739629e-01  5.50445373534993e-01  5.50727314810282e-01  5.50960154711757e-01  
5.51141539116549e-01  5.51268390761107e-01  5.51336965462380e-01  5.51342914786927e-01  
5.51281354467520e-01  5.51146937818495e-01  5.50933933360409e-01  5.50636305831769e-01  
5.50247799741074e-01  5.49762024596187e-01  5.49172540940239e-01  5.48472946323969e-01  
5.47656960353350e-01  5.46718507968584e-01  5.45651800135686e-01  5.44451411164664e-01  
5.43112351908428e-01  5.41630138143419e-01  5.40000853486205e-01  5.38221206259298e-01  
5.36288579783574e-01  5.34201075643328e-01  5.31957549542450e-01  5.29557639445727e-01  
5.27001785777122e-01  5.24291243526307e-01  5.21428086194935e-01  5.18415201594349e-01  
5.15256279585903e-01  5.11955791933027e-01  5.08518964509860e-01  5.04951742184050e-01  
5.01260746760386e-01  4.97453228436837e-01  4.93537011284460e-01  4.89520433317291e-01  
4.85412281766974e-01  4.81221724219243e-01  4.76958236305091e-01  4.72631526668168e-01  
4.68251459951467e-01  4.63827978560531e-01  4.59371023967162e-01  4.54890458316876e-01  
4.50395987095269e-01  4.45897083593076e-01  4.41402915887300e-01  4.36922277026568e-01  
4.32463519073193e-01  4.28034491612666e-01  4.23642485293911e-01  4.19294180911125e-01  
4.14995604480912e-01  4.10752088707282e-01  4.06568241162588e-01  4.02447919445216e-01  
3.98394213505486e-01  3.94409435260504e-01  3.90495115547298e-01  3.86652008392080e-01  
3.82880102502801e-01  3.79178639822725e-01  3.75546140915453e-01  3.71980436887095e-01  
3.68478707489956e-01  3.65037524994472e-01  3.61652903363058e-01  3.58320352211163e-01  
3.55034934997896e-01  3.51791330851286e-01  3.48583899401967e-01  3.45406747974098e-01  
3.42253800463839e-01  3.39118867223836e-01  3.35995715266987e-01  3.32878138104331e-01  
3.29760024540069e-01  3.26635425761502e-01  3.23498620082698e-01  3.20344174727961e-01  
3.17167004074109e-01  3.13962423809067e-01  3.10726200507759e-01  3.07454596174373e-01  
3.04144407352258e-01  3.00792998458474e-01  2.97398329058753e-01  2.93958974859820e-01  
2.90474142258950e-01  2.86943676354847e-01  2.83368062388557e-01  2.79748420647788e-01  
2.76086494931889e-01  2.72384634737289e-01  2.68645771383832e-01  2.64873388360561e-01  
2.61071486224513e-01  2.57244542437584e-01  2.53397466573840e-01  2.49535551372582e-01  
2.45664420150390e-01  2.41789971118105e-01  2.37918319175882e-01  2.34055735780857e-01  
2.30208587497393e-01  2.26383273849284e-01  2.22586165096524e-01  2.18823540556352e-01  
2.15101528079381e-01  2.11426045276665e-01  2.07802743072919e-01  2.04236952134906e-01  
2.00733632692499e-01  1.97297328233596e-01  1.93932123513105e-01  1.90641607271208e-01  
1.87428840007426e-01  1.84296327105152e-01  1.81245997546890e-01  1.78279188403842e-01  
1.75396635225441e-01  1.72598468395420e-01  1.69884215461617e-01  1.67252809387592e-01  
1.64702602615787e-01  1.62231386775004e-01  1.59836417809932e-01  1.57514446257895e-01  
1.55261752348368e-01  1.53074185554647e-01  1.50947208184743e-01  1.48875942560570e-01  
1.46855221301081e-01  1.44879640196538e-01  1.42943613137855e-01  1.41041428547047e-01  
1.39167306742522e-01  1.37315457666249e-01  1.35480138398854e-01  1.33655709893377e-01  
1.31836692368692e-01  1.30017818819352e-01  1.28194086119675e-01  1.26360803225987e-01  
1.24513636011881e-01  1.22648648306675e-01  1.20762338746754e-01  1.18851673092630e-01  
1.16914111710947e-01  1.14947631969886e-01  1.12950745347842e-01  1.10922509108550e-01  
1.08862532450268e-01  1.06770977091819e-01  1.04648552313603e-01  1.02496504526626e-01  
1.00316601496559e-01  9.81111114023639e-02  9.58827769595577e-02  9.36347848862458e-02  
9.13707310351935e-02  8.90945815569517e-02  8.68106304970519e-02  8.45234542641327e-02  
8.22378634352799e-02  7.99588523895337e-02  7.76915472802589e-02  7.54411528716702e-02  
7.32128987741595e-02  7.10119856170904e-02  6.88435316963944e-02  6.67125206276632e-02  
6.46237505235370e-02  6.25817851972205e-02  6.05909078720508e-02  5.86550778504690e-02  
5.67778905647600e-02  5.49625413968612e-02  5.32117936157460e-02  5.15279507387719e-02  
4.99128335783567e-02  4.83677621878814e-02  4.68935428712730e-02  4.54904603698075e-02  
4.41582752877874e-02  4.28962267664099e-02  4.17030403628761e-02  4.05769410401011e-02  
3.95156711217952e-02  3.85165130186836e-02  3.75763164846988e-02  3.66915301175798e-02  
